team,rating
Brazil,2167.0
Argentina,2143.0
France,2073.0
Spain,2034.0
Belgium,2033.0
Portugal,2018.0
Netherlands,2003.0
Italy,1995.0
Denmark,1983.0
Germany,1962.0
Uruguay,1926.0
Croatia,1926.0
England,1923.0
Switzerland,1913.0
Colombia,1896.0
Hungary,1856.0
Ukraine,1848.0
Peru,1848.0
Ecuador,1841.0
Wales,1822.0
Poland,1813.0
Mexico,1809.0
Serbia,1803.0
United States,1801.0
Venezuela,1801.0
Japan,1799.0
Iran,1798.0
Czech Republic,1788.0
South Korea,1780.0
Canada,1778.0
Scotland,1752.0
Morocco,1751.0
Sweden,1747.0
Norway,1742.0
Russia,1739.0
Paraguay,1735.0
Australia,1731.0
Costa Rica,1730.0
Austria,1729.0
Algeria,1714.0
Senegal,1705.0
Tunisia,1705.0
Greece,1704.0
Turkey,1701.0
Chile,1697.0
Republic of Ireland,1689.0
Ivory Coast,1680.0
Georgia,1662.0
Nigeria,1657.0
Finland,1653.0
Qatar,1652.0
Slovakia,1648.0
Bosnia and Herzegovina,1647.0
Israel,1641.0
Egypt,1639.0
Saudi Arabia,1636.0
Mali,1617.0
Slovenia,1616.0
Cameroon,1613.0
Northern Ireland,1602.0
North Macedonia,1595.0
Burkina Faso,1586.0
Romania,1584.0
Jordan,1584.0
Bolivia,1582.0
Montenegro,1578.0
Uzbekistan,1572.0
Iraq,1564.0
South Africa,1551.0
Jamaica,1547.0
Iceland,1546.0
Oman,1545.0
New Zealand,1544.0
Panama,1542.0
Haiti,1536.0
Albania,1535.0
Ghana,1534.0
Bulgaria,1520.0
Kosovo,1514.0
Bahrain,1510.0
Guatemala,1510.0
Moldova,1500.0
United Arab Emirates,1486.0
El Salvador,1483.0
Cape Verde,1480.0
Benin,1476.0
China,1473.0
Zambia,1464.0
Uganda,1463.0
Honduras,1461.0
Armenia,1459.0
Belarus,1454.0
Martinique,1451.0
Syria,1450.0
DR Congo,1442.0
Equatorial Guinea,1434.0
Palestine,1432.0
Vietnam,1425.0
Madagascar,1422.0
Estonia,1421.0
Luxembourg,1412.0
Curaçao,1410.0
Lebanon,1407.0
Gabon,1404.0
Azerbaijan,1399.0
Kazakhstan,1396.0
Thailand,1394.0
Angola,1389.0
Guinea,1387.0
Namibia,1383.0
Guinea-Bissau,1383.0
North Korea,1379.0
Kenya,1372.0
Gambia,1355.0
Botswana,1352.0
Ethiopia,1352.0
Basque Country,1350.0
Congo,1350.0
Latvia,1348.0
Trinidad and Tobago,1342.0
Mauritania,1340.0
Cyprus,1337.0
Zimbabwe,1333.0
Sierra Leone,1333.0
Libya,1331.0
Liberia,1326.0
Tajikistan,1306.0
Eswatini,1306.0
Sudan,1304.0
Faroe Islands,1301.0
Galicia,1300.0
Kuwait,1299.0
Bermuda,1299.0
Central African Republic,1295.0
Tanzania,1294.0
Malawi,1293.0
Guadeloupe,1285.0
Mozambique,1284.0
Cuba,1276.0
Rwanda,1271.0
Kyrgyzstan,1268.0
Nicaragua,1265.0
Saint Kitts and Nevis,1263.0
Suriname,1257.0
Lithuania,1255.0
Burundi,1252.0
Turkmenistan,1252.0
Niger,1252.0
Togo,1251.0
Indonesia,1251.0
Comoros,1251.0
Fiji,1250.0
Chad,1250.0
Tahiti,1250.0
Malta,1238.0
India,1235.0
New Caledonia,1220.0
Lesotho,1219.0
Vanuatu,1210.0
Samoa,1200.0
Solomon Islands,1196.0
Malaysia,1194.0
Guyana,1183.0
Dominican Republic,1182.0
Hong Kong,1153.0
Singapore,1126.0
Andorra,1118.0
Grenada,1112.0
Barbados,1103.0
Yemen,1100.0
Afghanistan,1097.0
Philippines,1097.0
Belize,1076.0
South Sudan,1064.0
São Tomé and Príncipe,1063.0
Gibraltar,1060.0
Saint Lucia,1035.0
Puerto Rico,994.0
Liechtenstein,977.0
Mauritius,940.0
Aruba,935.0
Myanmar,930.0
Montserrat,893.0
Seychelles,891.0
Pakistan,872.0
Somalia,857.0
Bangladesh,843.0
San Marino,816.0
Sint Maarten,776.0
Djibouti,752.0
