Equipo,Veces_Campeon,Probabilidad_%
Spain,1586,31.72
Argentina,1278,25.56
France,602,12.04
Brazil,410,8.2
England,230,4.6
Portugal,186,3.72
Germany,175,3.5
Colombia,131,2.62
Netherlands,92,1.84
Belgium,78,1.56
Croatia,39,0.78
Switzerland,38,0.76
Uruguay,38,0.76
Ecuador,30,0.6
Japan,17,0.34
Norway,15,0.3
Mexico,13,0.26
Turkey,12,0.24
Canada,5,0.1
Australia,4,0.08
Iran,4,0.08
United States,3,0.06
South Korea,3,0.06
Austria,3,0.06
Morocco,3,0.06
Scotland,2,0.04
Algeria,1,0.02
Senegal,1,0.02
Paraguay,1,0.02
